Id,FIPS,County_State,Total,White,Black,AmInd_Alaska,Asian,PacIsl
0500000US55025,55025,"Dane County, Wisconsin",489309,422301,24271,1206,23846,0
0500000US55027,55027,"Dodge County, Wisconsin",88748,84213,2370,175,616,0
0500000US55035,55035,"Eau Claire County, Wisconsin",98928,92298,507,365,3396,55
0500000US55039,55039,"Fond du Lac County, Wisconsin",101665,96236,1396,570,1004,0
0500000US55055,55055,"Jefferson County, Wisconsin",83693,79856,620,85,835,0
0500000US55059,55059,"Kenosha County, Wisconsin",166671,142791,11414,466,2855,0
0500000US55063,55063,"La Crosse County, Wisconsin",114874,105481,2353,320,4865,54
0500000US55071,55071,"Manitowoc County, Wisconsin",81349,76629,769,645,1509,0
0500000US55073,55073,"Marathon County, Wisconsin",134104,122971,185,470,6989,0
0500000US55079,55079,"Milwaukee County, Wisconsin",948944,583786,249807,4937,32407,405
0500000US55087,55087,"Outagamie County, Wisconsin",176912,162776,580,2701,5780,0
0500000US55089,55089,"Ozaukee County, Wisconsin",86365,82072,1256,565,1356,0
0500000US55101,55101,"Racine County, Wisconsin",195510,155458,20973,235,2639,0
0500000US55105,55105,"Rock County, Wisconsin",160310,144465,5341,279,1648,90
0500000US55109,55109,"St. Croix County, Wisconsin",84442,80336,739,638,1199,0
0500000US55117,55117,"Sheboygan County, Wisconsin",115472,105623,2148,294,4949,0
0500000US55127,55127,"Walworth County, Wisconsin",102205,96745,1077,229,610,0
0500000US55131,55131,"Washington County, Wisconsin",131971,127177,1283,49,1597,0
0500000US55133,55133,"Waukesha County, Wisconsin",389964,366072,4309,465,9892,37
0500000US55139,55139,"Winnebago County, Wisconsin",167059,154825,3113,1079,3413,0
0500000US56021,56021,"Laramie County, Wyoming",92127,79942,2767,1228,382,207
0500000US56025,56025,"Natrona County, Wyoming",75507,70338,462,1301,420,0
