FIPS,Geography,Total,White,Black,AmInd_Alaska,Asian,PacIsl
28047,"Harrison County, Mississippi",201410,137699,47881,1309,6733,70
28049,"Hinds County, Mississippi",242891,63876,172912,210,2331,0
28059,"Jackson County, Mississippi",141425,99046,30512,697,3539,0
28089,"Madison County, Mississippi",103465,59159,39744,202,2575,30
28121,"Rankin County, Mississippi",149039,114034,30028,90,1523,235
29019,"Boone County, Missouri",174974,141836,15701,530,7069,310
29021,"Buchanan County, Missouri",89100,78540,6138,517,605,26
29031,"Cape Girardeau County, Missouri",78572,69128,6115,133,873,0
29037,"Cass County, Missouri",101603,93401,4334,719,991,0
29043,"Christian County, Missouri",83279,79273,335,360,752,0
29047,"Clay County, Missouri",235637,202683,13340,2035,5902,0
29051,"Cole County, Missouri",76720,64765,8668,539,1088,0
29071,"Franklin County, Missouri",102426,97677,1189,0,432,0
29077,"Greene County, Missouri",288072,259717,10430,1367,5565,93
29095,"Jackson County, Missouri",687623,459654,163341,2206,11837,1878
29097,"Jasper County, Missouri",118596,108396,1554,1381,1634,108
29099,"Jefferson County, Missouri",224124,215144,2909,584,2027,0
29165,"Platte County, Missouri",96096,83615,7106,348,2322,18
29183,"St. Charles County, Missouri",385590,345403,16002,877,9205,235
29189,"St. Louis County, Missouri",1003362,691396,236786,1855,42835,519
29510,"St. Louis city, Missouri",315685,147897,147176,507,9152,521
30013,"Cascade County, Montana",82278,71830,1122,3745,777,32
30029,"Flathead County, Montana",96165,90344,282,1103,800,31
30031,"Gallatin County, Montana",100739,94575,294,829,1947,0
30049,"Lewis and Clark County, Montana",66418,62481,61,1800,347,391
30063,"Missoula County, Montana",114181,104696,841,2784,2203,0
30111,"Yellowstone County, Montana",157048,142882,1008,7177,1316,0
31055,"Douglas County, Nebraska",550064,437160,62117,4107,18490,186
31109,"Lancaster County, Nebraska",306468,265865,12368,1690,11954,316
31153,"Sarpy County, Nebraska",175692,155601,7197,904,4635,272
32003,"Clark County, Nevada",2114801,1314736,232104,16922,204801,14568
32031,"Washoe County, Nevada",446903,354181,10071,6361,22612,3112
33005,"Cheshire County, New Hampshire",75909,71947,608,125,1326,21
33009,"Grafton County, New Hampshire",89320,82376,503,436,4046,0
33011,"Hillsborough County, New Hampshire",406678,370671,11845,286,15626,175
33013,"Merrimack County, New Hampshire",147994,140431,2191,232,2398,0
33015,"Rockingham County, New Hampshire",301777,286085,2247,20,6170,0
33017,"Strafford County, New Hampshire",126825,117957,1736,81,3821,0
34001,"Atlantic County, New Jersey",274219,185429,40528,715,21961,176
34003,"Bergen County, New Jersey",938506,656493,57051,1705,153112,910
34005,"Burlington County, New Jersey",450226,324433,73811,606,23011,0
34007,"Camden County, New Jersey",510923,323313,95542,933,29533,184
34009,"Cape May County, New Jersey",94727,86752,4864,0,1368,0
34011,"Cumberland County, New Jersey",155854,110447,29440,874,2573,0
34013,"Essex County, New Jersey",797434,333541,314799,1736,41658,82
34015,"Gloucester County, New Jersey",291479,236613,26939,97,9557,208
34017,"Hudson County, New Jersey",674836,362723,84148,2087,101595,876
34019,"Hunterdon County, New Jersey",125488,114265,3328,12,4994,0
34021,"Mercer County, New Jersey",371398,240995,76228,200,40989,17
34023,"Middlesex County, New Jersey",840900,504867,85573,1773,202150,204
34025,"Monmouth County, New Jersey",628715,513647,46377,1207,33671,466
34027,"Morris County, New Jersey",499509,407191,16557,948,50898,0
34029,"Ocean County, New Jersey",588721,536710,18766,173,11816,187
34031,"Passaic County, New Jersey",510916,299987,58441,2278,27531,185
34033,"Salem County, New Jersey",64180,51720,8337,62,794,0
34035,"Somerset County, New Jersey",333654,219720,31905,175,58195,0
34037,"Sussex County, New Jersey",143673,133596,3094,0,3056,26
34039,"Union County, New Jersey",555786,322650,118490,1008,27386,0
34041,"Warren County, New Jersey",106869,95175,4395,281,3392,35
35001,"Bernalillo County, New Mexico",676685,479945,21402,31876,16021,391
35005,"Chaves County, New Mexico",65764,58125,896,1409,448,0
35013,"Doña Ana County, New Mexico",214295,191138,3623,2238,2454,0
35025,"Lea County, New Mexico",71180,60734,3216,408,55,137
35031,"McKinley County, New Mexico",76708,12645,663,57008,1579,0
35035,"Otero County, New Mexico",64362,49852,2474,4842,602,0
35043,"Sandoval County, New Mexico",139394,92026,3586,17831,1586,250
35045,"San Juan County, New Mexico",118737,65856,536,45158,1005,69
35049,"Santa Fe County, New Mexico",148686,123460,1540,4624,1301,38
35061,"Valencia County, New Mexico",75737,63342,904,3573,431,0
36001,"Albany County, New York",309381,237074,36840,613,19602,325
36005,"Bronx County, New York",1455444,296739,475704,9275,53593,63
36007,"Broome County, New York",196567,169170,11374,335,8411,107
36009,"Cattaraugus County, New York",77922,71494,1389,2286,791,0
36011,"Cayuga County, New York",78288,72240,3663,107,248,0
36013,"Chautauqua County, New York",130779,121646,3224,755,844,142
36015,"Chemung County, New York",87071,76618,6638,180,927,28
36019,"Clinton County, New York",81251,74541,3815,49,1268,10
36027,"Dutchess County, New York",295754,228378,31237,799,11505,259
36029,"Erie County, New York",922578,718294,126063,4275,32105,285
36045,"Jefferson County, New York",117635,101377,7831,546,2350,225
36047,"Kings County, New York",2636735,1143422,861059,10021,319263,375
36051,"Livingston County, New York",64717,60291,813,95,940,0
36053,"Madison County, New York",71849,68113,2015,21,489,0
36055,"Monroe County, New York",749600,570572,118054,3564,29177,99
36059,"Nassau County, New York",1361350,934951,161031,2675,125694,116
36061,"New York County, New York",1644518,927335,242485,5653,200997,695
36063,"Niagara County, New York",212652,185129,15160,1485,2853,0
36065,"Oneida County, New York",232500,197395,12862,593,9268,533
36067,"Onondaga County, New York",468463,375090,51850,3022,17422,169
36069,"Ontario County, New York",109561,102195,3577,42,1707,91
36071,"Orange County, New York",377647,277839,40664,1461,9508,55
36075,"Oswego County, New York",120146,115345,791,160,966,0
36079,"Putnam County, New York",99042,87642,2815,318,2173,42
36081,"Queens County, New York",2339150,917559,425453,9780,591840,451
36083,"Rensselaer County, New York",160266,139035,10090,119,4386,0
36085,"Richmond County, New York",474558,354859,50436,888,39628,280
36087,"Rockland County, New York",326037,225743,41472,320,20003,59
36089,"St. Lawrence County, New York",111007,102843,2480,713,1219,0
36091,"Saratoga County, New York",226249,210629,3664,146,6704,65
36093,"Schenectady County, New York",154604,118714,15094,164,7200,0
36101,"Steuben County, New York",97631,92559,1724,54,1659,10
36103,"Suffolk County, New York",1501587,1211538,116194,2489,62769,276
36105,"Sullivan County, New York",74877,59702,6673,64,1460,0
36109,"Tompkins County, New York",104926,84161,2894,563,11332,0
36111,"Ulster County, New York",180143,153351,11145,324,3805,318
36117,"Wayne County, New York",91446,85292,3110,194,559,318
36119,"Westchester County, New York",976396,648511,142311,2861,58978,338
37001,"Alamance County, North Carolina",158276,111955,29618,335,2643,48
37019,"Brunswick County, North Carolina",122765,101206,13087,641,929,46
37021,"Buncombe County, North Carolina",253178,226088,16385,1328,2663,177
37023,"Burke County, North Carolina",88842,74904,5315,462,3253,0
37025,"Cabarrus County, North Carolina",196762,139854,35165,797,6041,0
37027,"Caldwell County, North Carolina",81287,72676,3805,619,765,47
37031,"Carteret County, North Carolina",68879,61821,4528,181,1145,0
37035,"Catawba County, North Carolina",155056,121283,13471,245,6715,0
37037,"Chatham County, North Carolina",70928,57362,8085,0,1069,147
37045,"Cleveland County, North Carolina",96879,72946,20371,113,916,0
37049,"Craven County, North Carolina",103451,72352,23270,1636,2943,0
37051,"Cumberland County, North Carolina",323838,166701,117465,4855,7789,800
37057,"Davidson County, North Carolina",164622,141594,16002,1187,2609,0
37063,"Durham County, North Carolina",300952,151160,112622,1043,14971,0
